ts	snmplinuxmeminfo_percent_available_memory
2021-06-16 22:38:47	47.0
2021-06-16 22:43:47	47.0
2021-06-16 22:48:47	47.0
2021-06-16 22:53:47	47.0
2021-06-16 22:58:47	47.0
2021-06-16 23:03:47	47.0
2021-06-16 23:08:47	47.0
2021-06-16 23:13:47	47.0
2021-06-16 23:18:47	47.0
2021-06-16 23:23:47	47.0
2021-06-16 23:28:47	47.0
2021-06-16 23:33:47	47.0
2021-06-16 23:38:47	47.0
2021-06-16 23:43:47	47.0
2021-06-16 23:48:47	47.0
2021-06-16 23:53:47	47.0
2021-06-16 23:58:47	47.0
2021-06-17 00:03:47	47.0
2021-06-17 00:08:47	47.0
2021-06-17 00:13:47	47.0
2021-06-17 00:18:47	47.0
2021-06-17 00:23:47	47.0
2021-06-17 00:28:47	47.0
2021-06-17 00:33:47	47.0
2021-06-17 00:38:47	47.0
2021-06-17 00:43:47	47.0
2021-06-17 00:48:47	47.0
2021-06-17 00:53:47	47.0
2021-06-17 00:58:47	47.0
2021-06-17 01:03:47	47.0
2021-06-17 01:08:47	47.0
2021-06-17 01:13:47	47.0
2021-06-17 01:18:47	47.0
2021-06-17 01:23:47	47.0
2021-06-17 01:28:47	47.0
2021-06-17 01:33:47	47.0
2021-06-17 01:38:47	47.0
2021-06-17 01:43:47	47.0
2021-06-17 01:48:47	47.0
2021-06-17 01:53:47	47.0
2021-06-17 01:58:47	47.0
2021-06-17 02:03:47	47.0
2021-06-17 02:08:47	47.0
2021-06-17 02:13:47	47.0
2021-06-17 02:18:47	47.0
2021-06-17 02:23:47	47.0
2021-06-17 02:28:47	47.0
2021-06-17 02:33:47	47.0
2021-06-17 02:38:47	47.0
2021-06-17 02:43:47	47.0
2021-06-17 02:48:47	47.0
2021-06-17 02:53:47	47.0
2021-06-17 02:58:47	47.0
2021-06-17 03:03:47	47.0
2021-06-17 03:08:47	47.0
2021-06-17 03:13:47	47.0
2021-06-17 03:18:47	47.0
2021-06-17 03:23:47	47.0
2021-06-17 03:28:47	47.0
2021-06-17 03:33:47	47.0
2021-06-17 03:38:47	47.0
2021-06-17 03:43:47	47.0
2021-06-17 03:48:47	47.0
2021-06-17 03:53:47	47.0
2021-06-17 03:58:47	47.0
2021-06-17 04:03:47	47.0
2021-06-17 04:08:47	47.0
2021-06-17 04:13:47	47.0
2021-06-17 04:18:47	47.0
2021-06-17 04:23:47	47.0
2021-06-17 04:28:47	47.0
2021-06-17 04:33:47	47.0
2021-06-17 04:38:47	47.0
2021-06-17 04:43:47	47.0
2021-06-17 04:48:47	47.0
2021-06-17 04:53:47	47.0
2021-06-17 04:58:47	47.0
2021-06-17 05:03:47	47.0
2021-06-17 05:08:47	47.0
2021-06-17 05:13:47	47.0
2021-06-17 05:18:47	47.0
2021-06-17 05:23:47	47.0
2021-06-17 05:28:47	47.0
2021-06-17 05:33:47	47.0
2021-06-17 05:38:47	47.0
2021-06-17 05:43:47	47.0
2021-06-17 05:48:47	47.0
2021-06-17 05:53:47	47.0
2021-06-17 05:58:47	47.0
2021-06-17 06:03:47	47.0
2021-06-17 06:08:47	47.0
2021-06-17 06:13:47	47.0
2021-06-17 06:18:47	47.0
2021-06-17 06:23:47	47.0
2021-06-17 06:28:47	47.0
2021-06-17 06:33:47	47.0
2021-06-17 06:38:47	47.0
2021-06-17 06:43:47	47.0
2021-06-17 06:48:47	47.0
2021-06-17 06:53:47	47.0
2021-06-17 06:58:47	47.0
