ts	snmprmon_packets_65_127_bytes_speed
2021-06-26 22:16:24	206.9678
2021-06-26 22:17:24	238.9232
2021-06-26 22:18:24	266.3889
2021-06-26 22:19:24	248.6914
2021-06-26 22:20:24	248.05
2021-06-26 22:21:24	261.954
2021-06-26 22:22:24	244.9092
2021-06-26 22:23:24	273.1622
2021-06-26 22:24:24	274.5915
2021-06-26 22:25:24	310.9167
2021-06-26 22:26:24	259.5833
2021-06-26 22:27:24	202.3004
2021-06-26 22:28:24	200.3834
2021-06-26 22:29:24	210.9148
2021-06-26 22:30:24	219.1167
2021-06-26 22:31:24	253.1511
2021-06-26 22:32:24	289.7633
2021-06-26 22:33:24	258.2236
2021-06-26 22:34:24	264.4107
2021-06-26 22:35:24	243.9093
2021-06-26 22:36:24	254.9275
2021-06-26 22:37:24	273.0712
2021-06-26 22:38:24	365.2775
2021-06-26 22:39:24	357.7596
2021-06-26 22:40:24	292.8155
2021-06-26 22:41:24	297.6
2021-06-26 22:42:24	324.8875
2021-06-26 22:43:24	280.4634
2021-06-26 22:44:24	291.2167
2021-06-26 22:45:24	289.0
2021-06-26 22:46:24	277.6425
2021-06-26 22:47:24	310.4684
2021-06-26 22:48:24	307.4488
2021-06-26 22:49:24	318.1197
2021-06-26 22:50:24	353.3089
2021-06-26 22:51:24	341.3069
2021-06-26 22:52:24	337.2333
2021-06-26 22:53:24	352.9167
2021-06-26 22:54:24	368.6395
2021-06-26 22:55:24	342.3333
2021-06-26 22:56:24	359.0697
2021-06-26 22:57:24	318.0137
2021-06-26 22:58:24	336.9228
2021-06-26 22:59:24	326.0377
2021-06-26 23:00:24	343.3761
2021-06-26 23:01:24	357.9597
2021-06-26 23:02:24	367.5887
2021-06-26 23:03:24	377.4462
2021-06-26 23:04:24	333.1389
2021-06-26 23:05:24	299.5999
2021-06-26 23:06:24	340.2301
2021-06-26 23:07:24	370.6833
2021-06-26 23:08:24	340.7235
2021-06-26 23:09:24	362.3937
2021-06-26 23:10:24	349.8916
2021-06-26 23:11:24	343.3833
2021-06-26 23:12:24	361.8436
2021-06-26 23:13:24	357.3096
2021-06-26 23:14:24	330.2566
2021-06-26 23:15:24	305.0183
2021-06-26 23:16:24	334.2167
2021-06-26 23:17:24	335.918
2021-06-26 23:18:24	342.3929
2021-06-26 23:19:24	365.4109
2021-06-26 23:20:24	383.35
2021-06-26 23:21:24	385.7286
2021-06-26 23:22:24	348.6914
2021-06-26 23:23:24	338.1936
2021-06-26 23:24:24	337.0728
2021-06-26 23:25:24	364.6
2021-06-26 23:26:24	339.7
2021-06-26 23:27:24	354.1257
2021-06-26 23:28:24	352.8255
2021-06-26 23:29:24	336.3061
2021-06-26 23:30:24	322.3129
2021-06-26 23:31:24	357.9693
2021-06-26 23:32:24	363.4272
2021-06-26 23:33:24	341.3069
2021-06-26 23:34:24	327.4333
2021-06-26 23:35:24	338.5833
2021-06-26 23:36:24	369.0448
2021-06-26 23:37:24	387.2291
2021-06-26 23:38:24	355.5407
2021-06-26 23:39:24	343.3906
2021-06-26 23:40:24	333.7223
2021-06-26 23:41:24	342.7667
2021-06-26 23:42:24	378.063
2021-06-26 23:43:24	359.4432
2021-06-26 23:44:24	359.71
2021-06-26 23:45:24	334.3167
2021-06-26 23:46:24	360.8232
2021-06-26 23:47:24	339.7966
2021-06-26 23:48:24	343.9593
2021-06-26 23:49:24	355.2092
2021-06-26 23:50:24	403.3006
2021-06-26 23:51:23	422.1037
2021-06-26 23:52:23	415.2525
2021-06-26 23:53:23	392.132
2021-06-26 23:54:23	340.5333
2021-06-26 23:55:23	390.2984
2021-06-26 23:56:24	356.15
2021-06-26 23:57:23	347.2579
2021-06-26 23:58:23	351.3586
2021-06-26 23:59:23	361.5769
2021-06-27 00:00:23	311.798
2021-06-27 00:01:23	375.5959
2021-06-27 00:02:23	341.1069
2021-06-27 00:03:23	341.3069
2021-06-27 00:04:23	352.208
2021-06-27 00:05:23	361.1167
2021-06-27 00:06:23	350.2084
2021-06-27 00:07:23	365.7943
2021-06-27 00:08:23	344.4759
2021-06-27 00:09:23	346.141
2021-06-27 00:10:23	334.8333
2021-06-27 00:11:23	364.6774
2021-06-27 00:12:23	375.1792
2021-06-27 00:13:23	338.2064
2021-06-27 00:14:23	343.5239
2021-06-27 00:15:23	363.1833
2021-06-27 00:16:23	412.35
2021-06-27 00:17:23	389.0315
2021-06-27 00:18:23	346.7911
2021-06-27 00:19:23	355.6741
2021-06-27 00:20:23	366.7445
2021-06-27 00:21:23	351.0752
2021-06-27 00:22:23	353.4756
2021-06-27 00:23:23	357.9737
2021-06-27 00:24:23	327.5213
2021-06-27 00:25:23	334.8725
2021-06-27 00:26:23	365.872
2021-06-27 00:27:23	353.25
2021-06-27 00:28:23	349.0748
2021-06-27 00:29:23	366.3444
2021-06-27 00:30:23	355.4574
2021-06-27 00:31:23	381.9106
2021-06-27 00:32:23	320.9035
2021-06-27 00:33:23	325.771
2021-06-27 00:34:23	343.6594
2021-06-27 00:35:23	366.2167
2021-06-27 00:36:23	357.9026
2021-06-27 00:37:23	353.3422
2021-06-27 00:38:23	355.55
2021-06-27 00:39:23	343.2739
2021-06-27 00:40:23	342.15
2021-06-27 00:41:23	350.6918
2021-06-27 00:42:23	349.6084
2021-06-27 00:43:23	378.8965
2021-06-27 00:44:23	315.3359
2021-06-27 00:45:23	359.6933
2021-06-27 00:46:23	364.7
2021-06-27 00:47:23	344.0573
2021-06-27 00:48:23	349.1749
2021-06-27 00:49:23	343.5906
2021-06-27 00:50:23	368.3667
2021-06-27 00:51:23	388.8815
2021-06-27 00:52:23	369.1949
2021-06-27 00:53:23	377.9333
2021-06-27 00:54:23	369.4949
2021-06-27 00:55:23	361.3269
2021-06-27 00:56:23	351.934
2021-06-27 00:57:23	361.4538
2021-06-27 00:58:23	377.3371
2021-06-27 00:59:23	386.6978
2021-06-27 01:00:23	341.2402
2021-06-27 01:01:23	349.875
2021-06-27 01:02:23	368.7719
2021-06-27 01:03:23	348.9415
2021-06-27 01:04:23	336.2394
2021-06-27 01:05:23	362.023
2021-06-27 01:06:23	335.862
2021-06-27 01:07:23	359.1599
2021-06-27 01:08:23	334.0223
2021-06-27 01:09:23	342.0833
2021-06-27 01:10:23	334.8783
2021-06-27 01:11:23	351.1919
2021-06-27 01:12:23	330.35
2021-06-27 01:13:23	338.2
2021-06-27 01:14:23	375.7793
2021-06-27 01:15:23	359.4599
2021-06-27 01:16:23	372.9
2021-06-27 01:17:23	354.6258
2021-06-27 01:18:23	348.8248
2021-06-27 01:19:23	340.0567
2021-06-27 01:20:23	385.4142
2021-06-27 01:21:23	439.6066
2021-06-27 01:22:23	360.8101
2021-06-27 01:23:23	351.9667
2021-06-27 01:24:23	396.5161
2021-06-27 01:25:23	342.007
2021-06-27 01:26:23	339.85
2021-06-27 01:27:23	360.7268
2021-06-27 01:28:23	359.8266
2021-06-27 01:29:23	376.2627
2021-06-27 01:30:23	379.8633
2021-06-27 01:31:23	368.3833
2021-06-27 01:32:23	333.7556
2021-06-27 01:33:23	315.4026
2021-06-27 01:34:23	330.6949
2021-06-27 01:35:23	349.6333
2021-06-27 01:36:23	349.0997
2021-06-27 01:37:23	369.4282
2021-06-27 01:38:23	346.8667
2021-06-27 01:39:23	329.3549
2021-06-27 01:40:23	357.7737
2021-06-27 01:41:23	332.4329
2021-06-27 01:42:23	339.5
2021-06-27 01:43:23	372.5788
2021-06-27 01:44:23	342.257
2021-06-27 01:45:23	340.4933
2021-06-27 01:46:23	349.5332
2021-06-27 01:47:23	362.2104
2021-06-27 01:48:23	332.6554
2021-06-27 01:49:23	349.1249
2021-06-27 01:50:23	359.1235
2021-06-27 01:51:23	347.7492
2021-06-27 01:52:23	376.3627
2021-06-27 01:53:23	361.5603
2021-06-27 01:54:23	366.8389
2021-06-27 01:55:23	335.0167
2021-06-27 01:56:23	345.9987
2021-06-27 01:57:23	442.1333
2021-06-27 01:58:23	447.2912
2021-06-27 01:59:23	349.4749
2021-06-27 02:00:23	361.8167
2021-06-27 02:01:23	379.3833
2021-06-27 02:02:23	378.9597
2021-06-27 02:03:23	334.2557
2021-06-27 02:04:23	331.1719
2021-06-27 02:05:23	327.3788
2021-06-27 02:06:23	348.108
2021-06-27 02:07:23	383.4139
2021-06-27 02:08:23	362.95
2021-06-27 02:09:23	333.2555
2021-06-27 02:10:23	369.45
2021-06-27 02:11:23	378.5762
